[imgcut]
0
ui_battle_multi.png
59
1,1,320,240,背景
323,1,51,39,ユニット選択枠
323,55,142,72,神様ボタン（100%と同じ）
323,129,142,72,神様ボタン（白）
323,203,142,72,神様ボタン（灰）
376,1,26,52,砦（敵軍）
404,1,26,52,砦（自軍）
432,1,26,52,砦（敵軍）通信用
459,1,12,12,ユニット（敵軍）
472,1,12,12,ユニット（自軍）
323,120,142,7,神様ボタン 10%
323,113,142,14,神様ボタン 20%
323,106,142,21,神様ボタン 30%
323,99,142,28,神様ボタン 40%
323,92,142,35,神様ボタン 50%
323,85,142,42,神様ボタン 60%
323,78,142,49,神様ボタン 70%
323,71,142,56,神様ボタン 80%
323,64,142,63,神様ボタン 90%
323,55,142,72,神様ボタン 100%
1,243,250,24,実況ログウインドウ（デフォ）
1,269,29,11,TIME
32,269,5,11,:
39,269,9,11,0
50,269,9,11,1
61,269,9,11,2
72,269,9,11,3
83,269,9,11,4
94,269,9,11,5
105,269,9,11,6
116,269,9,11,7
127,269,9,11,8
138,269,9,11,9
1,282,29,11,TIME(暗転)
32,282,5,11,:(暗転)
39,282,9,11,0(暗転)
50,282,9,11,1(暗転)
61,282,9,11,2(暗転)
72,282,9,11,3(暗転)
83,282,9,11,4(暗転)
94,282,9,11,5(暗転)
105,282,9,11,6(暗転)
116,282,9,11,7(暗転)
127,282,9,11,8(暗転)
138,282,9,11,9(暗転)
2,346,44,23,ルーレットアイコン蓋（上部）
2,369,44,23,ルーレットアイコン蓋（下部）
1,296,178,23,ルーレットリール蓋（上部）
1,319,178,23,ルーレットリール蓋（下部）
149,269,26,25,ルーレット点灯中ランプ
241,281,140,20,ファーストアタック
241,307,140,20,ファーストアタック（白字）
1,395,250,24,実況ログウインドウ（赤）
182,269,24,23,Rボタン
208,269,24,23,Rボタン(白)
105,345,54,20,自分(青)
49,345,54,20,自分(赤)
105,367,54,20,相手(青)
49,367,54,20,相手（赤）
