[imgcut]
0
ui_battle_multi_icon.png
52
420,203,6,6,背景：アイコン用
430,203,6,6,背景：効果名用
439,202,26,25,Rボタン：有効
466,202,26,25,Rボタン：ハイライト
440,229,30,20,ルーレットランプ：点灯
472,229,30,20,ルーレットランプ：ハイライト
2,2,40,40,アイコン：ふっとばし
44,2,40,40,アイコン：癒やし
86,2,40,40,アイコン：生産回復
128,2,40,40,アイコン：にゃんこ砲
170,2,40,40,アイコン：生産短縮
2,44,40,40,アイコン：働き増加
44,44,40,40,アイコン：コストダウン
86,44,40,40,アイコン：お金マックス
128,44,40,40,アイコン：スロウ
170,44,40,40,アイコン：ストップ
2,86,40,40,アイコン：攻撃力アップ
44,86,40,40,アイコン：体力アップ
86,86,40,40,アイコン：移動アップ
128,86,40,40,アイコン：プチベビーラッシュ
212,2,40,40,効果名：ふっとばし
254,2,40,40,効果名：癒やし
296,2,40,40,効果名：生産回復
338,2,40,40,効果名：にゃんこ砲
380,2,40,40,効果名：生産短縮
212,44,40,40,効果名：働き増加
254,44,40,40,効果名：コストダウン
296,44,40,40,効果名：お金マックス
338,44,40,40,効果名：スロウ
380,44,40,40,効果名：ストップ
212,86,40,40,効果名：攻撃力アップ
254,86,40,40,効果名：体力アップ
296,86,40,40,効果名：移動アップ
338,86,40,40,効果名：プチベビーラッシュ
2,128,47,47,発動エフェクト：ふっとばし
50,128,47,47,発動エフェクト：癒やし
98,128,47,47,発動エフェクト：生産回復
146,128,47,47,発動エフェクト：にゃんこ砲
194,128,47,47,発動エフェクト：生産短縮
243,128,47,47,発動エフェクト：働き増加
291,128,47,47,発動エフェクト：コストダウン
339,128,47,47,発動エフェクト：お金マックス
387,128,47,47,発動エフェクト：スロウ
435,128,47,47,発動エフェクト：ストップ
2,176,47,47,発動エフェクト：攻撃力アップ
50,176,47,47,発動エフェクト：体力アップ
98,176,47,47,発動エフェクト：移動アップ
146,176,47,47,発動エフェクト：プチベビーラッシュ
422,2,30,21,レベル１
422,25,30,21,レベル２
422,48,30,21,レベル３
422,71,30,21,レベルマックス
